source_system,source_id,customer_name,email,tax_id,country,phone,account_owner,credit_limit,deal_size
HubSpot,HB-9000,Bluth Development,sales9000@bluthcompany.com,US91214453,US,+1-865-385-5089,Rep A,,"$6,000"
HubSpot,HB-9001,Initech Inc,sales9001@initechllc.com,SG79490594,SG,+1-702-304-3009,Rep A,,"$9,000"
HubSpot,HB-9002,Dunder Paper Co,sales9002@dundermifflin.com,DE69741812,DE,+1-361-828-3852,Rep B,,"$37,000"
HubSpot,HB-9003,Stark Enterprise,sales9003@starkindustries.com,UK36975128,UK,+1-288-167-6067,Rep B,,"$50,000"
HubSpot,HB-9004,Pied Piper Compression,sales9004@piedpiper.com,JP64953237,JP,+1-552-231-3981,Rep A,,"$32,000"
HubSpot,HB-9005,Wayne Group,sales9005@wayneenterprises.com,FR95235919,FR,+1-357-275-6531,Rep C,,"$7,000"
HubSpot,HB-9006,Acme Corp,sales9006@acmecorporation.com,UK16101779,UK,+1-758-396-5949,Rep B,,"$20,000"
HubSpot,HB-9007,Oscorp Tech,sales9007@oscorpindustries.com,CA70873663,CA,+1-408-448-3353,Rep B,,"$50,000"
HubSpot,HB-9008,Massive Dynamic Corp,sales9008@massivedynamic.com,AU63514837,AU,+1-251-397-7293,Rep C,,"$31,000"
HubSpot,HB-9009,Pied Piper Compression,sales9009@piedpiper.com,US22086184,US,+1-869-788-8710,Rep B,,"$39,000"
HubSpot,HB-9010,Acme Corp,sales9010@acmecorporation.com,UK67838146,UK,+1-766-395-2204,Rep B,,"$37,000"
HubSpot,HB-9011,Dunder Paper Co,sales9011@dundermifflin.com,CA93650068,CA,+1-973-247-4261,Rep C,,"$37,000"
HubSpot,HB-9012,Oscorp Tech,sales9012@oscorpindustries.com,US16080513,US,+1-727-243-6373,Rep C,,"$25,000"
HubSpot,HB-9013,Initech Inc,sales9013@initechllc.com,JP92745294,JP,+1-889-212-7824,Rep C,,"$24,000"
HubSpot,HB-9014,Acme Corp,sales9014@acmecorporation.com,SG45638891,SG,+1-834-893-7229,Rep A,,"$48,000"
HubSpot,HB-9015,Umbrella Holdings,sales9015@umbrellacorp.com,JP77353073,JP,+1-878-589-9609,Rep B,,"$25,000"
HubSpot,HB-9016,Initech Inc,sales9016@initechllc.com,SG81555103,SG,+1-505-330-5876,Rep B,,"$50,000"
HubSpot,HB-9017,Umbrella Holdings,sales9017@umbrellacorp.com,SG52552488,SG,+1-604-938-6654,Rep A,,"$23,000"
HubSpot,HB-9018,Globex Global,sales9018@globexindustries.com,CA20607151,CA,+1-340-211-4920,Rep A,,"$8,000"
HubSpot,HB-9019,Hooli Search,sales9019@hooli.com,FR95623471,FR,+1-361-516-8793,Rep B,,"$46,000"
HubSpot,HB-9020,Umbrella Holdings,sales9020@umbrellacorp.com,CA53106399,CA,+1-238-279-7846,Rep A,,"$7,000"
HubSpot,HB-9021,Oscorp Tech,sales9021@oscorpindustries.com,SG35006323,SG,+1-856-656-9590,Rep B,,"$13,000"
HubSpot,HB-9022,Cyberdyne Tech,sales9022@cyberdynesystems.com,UK95726382,UK,+1-918-662-8714,Rep C,,"$47,000"
HubSpot,HB-9023,Umbrella Holdings,sales9023@umbrellacorp.com,FR89968863,FR,+1-760-617-4312,Rep C,,"$39,000"
HubSpot,HB-9024,Apex Solutions LLC,sales9024@apexsolutions.com,DE54039203,DE,+1-664-235-9409,Rep B,,"$34,000"
HubSpot,HB-9025,Bluth Development,sales9025@bluthcompany.com,US85000490,US,+1-917-165-9866,Rep A,,"$9,000"
HubSpot,HB-9026,Pied Piper Compression,sales9026@piedpiper.com,US48532662,US,+1-586-484-2314,Rep C,,"$47,000"
HubSpot,HB-9027,SCDP,sales9027@sterlingcooper.com,DE97715861,DE,+1-974-123-5888,Rep B,,"$48,000"
HubSpot,HB-9028,SCDP,sales9028@sterlingcooper.com,JP81394920,JP,+1-984-116-4943,Rep A,,"$9,000"
HubSpot,HB-9029,Globex Global,sales9029@globexindustries.com,DE77631755,DE,+1-733-326-7775,Rep B,,"$22,000"
HubSpot,HB-9030,Vandelay Imports,sales9030@vandelayindustries.com,DE50250352,DE,+1-626-670-9683,Rep A,,"$29,000"
HubSpot,HB-9031,Stark Enterprise,sales9031@starkindustries.com,,CA,+1-586-789-1647,Rep A,,"$17,000"
HubSpot,HB-9032,Bluth Development,sales9032@bluthcompany.com,FR74343201,FR,+1-912-718-4350,Rep B,,"$20,000"
HubSpot,HB-9033,SCDP,sales9033@sterlingcooper.com,AU47991562,AU,+1-527-308-7073,Rep B,,"$31,000"
HubSpot,HB-9034,Globex Global,sales9034@globexindustries.com,FR29585415,FR,+1-537-335-7223,Rep C,,"$20,000"
HubSpot,HB-9035,Pied Piper Compression,sales9035@piedpiper.com,AU44537812,AU,+1-937-659-9000,Rep A,,"$39,000"
HubSpot,HB-9036,Globex Global,sales9036@globexindustries.com,US19976458,US,+1-666-482-1990,Rep C,,"$45,000"
HubSpot,HB-9037,Goliath Bank,sales9037@goliathnationalbank.com,SG98487646,SG,+1-493-117-9228,Rep C,,"$48,000"
HubSpot,HB-9038,Stellar Tech,sales9038@stellartechnologies.com,AU64496076,AU,+1-687-157-1154,Rep C,,"$15,000"
HubSpot,HB-9039,Stellar Tech,sales9039@stellartechnologies.com,SG68238367,SG,+1-686-377-1762,Rep A,,"$48,000"
HubSpot,HB-9040,Wayne Group,sales9040@wayneenterprises.com,US34072553,US,+1-598-793-9856,Rep B,,"$29,000"
HubSpot,HB-9041,Goliath Bank,sales9041@goliathnationalbank.com,JP53805532,JP,+1-584-542-4043,Rep C,,"$42,000"
HubSpot,HB-9042,Soylent Foods,sales9042@soylentcorp.com,,UK,+1-641-559-9395,Rep B,,"$11,000"
