source_system,source_id,customer_name,email,tax_id,country,phone,account_owner,credit_limit,deal_size
Salesforce,SF-1000,Bluth Company,contact1000@bluthcompany.com,US91214453,USA,+1-654-881-2259,David Miller,,
Salesforce,SF-1001,Initech LLC,contact1001@initechllc.com,SG79490594,Singapore,+1-466-820-8311,Sarah Jenkins,,
Salesforce,SF-1002,Dunder Mifflin,contact1002@dundermifflin.com,DE69741812,Germany,+1-527-783-6692,John Doe,,
Salesforce,SF-1003,Stark Industries,contact1003@starkindustries.com,UK36975128,United Kingdom,+1-569-667-7044,Alice Smith,,
Salesforce,SF-1004,Pied Piper,contact1004@piedpiper.com,JP64953237,Japan,+1-857-175-8372,Alice Smith,,
Salesforce,SF-1005,Hooli,contact1005@hooli.com,US26664623,USA,+1-926-330-6669,David Miller,,
Salesforce,SF-1006,Wayne Enterprises,contact1006@wayneenterprises.com,FR95235919,France,+1-829-646-2530,David Miller,,
Salesforce,SF-1007,Acme Corporation,contact1007@acmecorporation.com,UK16101779,United Kingdom,+1-415-885-7825,David Miller,,
Salesforce,SF-1008,Massive Dynamic,contact1008@massivedynamic.com,AU63514837,Australia,+1-526-347-8642,John Doe,,
Salesforce,SF-1009,Stark Industries,contact1009@starkindustries.com,DE53947691,Germany,+1-363-610-9433,Alice Smith,,
Salesforce,SF-1010,Pied Piper,contact1010@piedpiper.com,US22086184,USA,+1-420-697-6781,John Doe,,
Salesforce,SF-1011,Acme Corporation,contact1011@acmecorporation.com,UK67838146,United Kingdom,+1-612-474-1741,Alice Smith,,
Salesforce,SF-1012,Dunder Mifflin,contact1012@dundermifflin.com,CA93650068,Canada,+1-603-482-6555,David Miller,,
Salesforce,SF-1013,Initech LLC,contact1013@initechllc.com,JP92745294,Japan,+1-721-645-9025,David Miller,,
Salesforce,SF-1014,Acme Corporation,contact1014@acmecorporation.com,SG45638891,Singapore,+1-791-333-1841,David Miller,,
Salesforce,SF-1015,Stark Industries,contact1015@starkindustries.com,US86849080,USA,+1-521-528-3481,Alice Smith,,
Salesforce,SF-1016,Umbrella Corp,contact1016@umbrellacorp.com,JP77353073,Japan,+1-953-844-2020,Sarah Jenkins,,
Salesforce,SF-1017,Initech LLC,contact1017@initechllc.com,SG81555103,Singapore,+1-938-797-5331,David Miller,,
Salesforce,SF-1018,Umbrella Corp,contact1018@umbrellacorp.com,SG52552488,Singapore,+1-938-380-5715,John Doe,,
Salesforce,SF-1019,Globex Industries,contact1019@globexindustries.com,CA20607151,Canada,+1-690-319-4310,David Miller,,
Salesforce,SF-1020,Hooli,contact1020@hooli.com,FR95623471,France,+1-683-202-3252,John Doe,,
Salesforce,SF-1021,Umbrella Corp,contact1021@umbrellacorp.com,CA53106399,Canada,+1-867-687-4804,David Miller,,
Salesforce,SF-1022,Oscorp Industries,contact1022@oscorpindustries.com,SG35006323,Singapore,+1-238-109-5888,David Miller,,
Salesforce,SF-1023,Hooli,contact1023@hooli.com,SG46619573,Singapore,+1-669-763-5215,Sarah Jenkins,,
Salesforce,SF-1024,Acme Corporation,contact1024@acmecorporation.com,AU49597485,Australia,+1-854-515-8007,David Miller,,
Salesforce,SF-1025,Nexus Global Inc.,contact1025@nexusglobalinc.com,DE28872606,Germany,+1-592-341-8319,Mike Ross,,
Salesforce,SF-1026,Bluth Company,contact1026@bluthcompany.com,US45105069,USA,+1-321-576-6026,Sarah Jenkins,,
Salesforce,SF-1027,Cyberdyne Systems,contact1027@cyberdynesystems.com,UK95726382,United Kingdom,+1-424-236-8834,Sarah Jenkins,,
Salesforce,SF-1028,Umbrella Corp,contact1028@umbrellacorp.com,FR89968863,France,+1-920-470-2279,David Miller,,
Salesforce,SF-1029,Apex Solutions,contact1029@apexsolutions.com,DE54039203,Germany,+1-934-697-9008,John Doe,,
Salesforce,SF-1030,Bluth Company,contact1030@bluthcompany.com,US85000490,USA,+1-605-360-1049,Sarah Jenkins,,
Salesforce,SF-1031,Pied Piper,contact1031@piedpiper.com,US48532662,USA,+1-946-761-7887,Mike Ross,,
Salesforce,SF-1032,Sterling Cooper,contact1032@sterlingcooper.com,DE97715861,Germany,+1-602-641-3086,Sarah Jenkins,,
Salesforce,SF-1033,Sterling Cooper,contact1033@sterlingcooper.com,JP81394920,Japan,+1-358-382-4088,John Doe,,
Salesforce,SF-1034,Nexus Global Inc.,contact1034@nexusglobalinc.com,US69920305,USA,+1-958-145-7590,Alice Smith,,
Salesforce,SF-1035,Globex Industries,contact1035@globexindustries.com,DE77631755,Germany,+1-789-426-6253,Sarah Jenkins,,
Salesforce,SF-1036,Globex Industries,contact1036@globexindustries.com,DE94019376,Germany,+1-552-758-7244,David Miller,,
Salesforce,SF-1037,Vandelay Industries,contact1037@vandelayindustries.com,DE50250352,Germany,+1-430-407-3365,Alice Smith,,
Salesforce,SF-1038,Stark Industries,contact1038@starkindustries.com,CA37291394,Canada,+1-579-194-9775,Sarah Jenkins,,
Salesforce,SF-1039,Bluth Company,contact1039@bluthcompany.com,FR74343201,France,+1-215-316-4113,John Doe,,
Salesforce,SF-1040,Sterling Cooper,contact1040@sterlingcooper.com,AU47991562,Australia,+1-467-468-9401,Alice Smith,,
Salesforce,SF-1041,Pied Piper,contact1041@piedpiper.com,AU44537812,Australia,+1-957-602-8550,Sarah Jenkins,,
Salesforce,SF-1042,Globex Industries,contact1042@globexindustries.com,US19976458,USA,+1-622-240-4791,John Doe,,
Salesforce,SF-1043,Goliath National Bank,contact1043@goliathnationalbank.com,SG98487646,Singapore,+1-212-117-9673,Mike Ross,,
Salesforce,SF-1044,Vandelay Industries,contact1044@vandelayindustries.com,DE24363501,Germany,+1-834-639-5135,Mike Ross,,
Salesforce,SF-1045,Stellar Technologies,contact1045@stellartechnologies.com,AU64496076,Australia,+1-507-800-2320,John Doe,,
Salesforce,SF-1046,Stellar Technologies,contact1046@stellartechnologies.com,SG68238367,Singapore,+1-297-640-1697,Sarah Jenkins,,
Salesforce,SF-1047,Wayne Enterprises,contact1047@wayneenterprises.com,US34072553,USA,+1-801-247-7525,John Doe,,
Salesforce,SF-1048,Apex Solutions,contact1048@apexsolutions.com,UK77215278,United Kingdom,+1-437-958-2245,Mike Ross,,
Salesforce,SF-1049,Oscorp Industries,contact1049@oscorpindustries.com,UK93029219,United Kingdom,+1-474-257-7225,Sarah Jenkins,,
Salesforce,SF-1050,Acme Corporation,contact1050@acmecorporation.com,UK57501571,United Kingdom,+1-594-112-5781,Alice Smith,,
Salesforce,SF-1051,Oscorp Industries,contact1051@oscorpindustries.com,DE28634797,Germany,+1-371-545-5521,Alice Smith,,
Salesforce,SF-1052,Soylent Corp,contact1052@soylentcorp.com,CA43096758,Canada,+1-668-209-3219,Mike Ross,,
Salesforce,SF-1053,Vandelay Industries,contact1053@vandelayindustries.com,DE50323741,Germany,+1-521-281-7524,Mike Ross,,
Salesforce,SF-1054,Pied Piper,contact1054@piedpiper.com,FR53739710,France,+1-316-677-4273,David Miller,,
Salesforce,SF-1055,Dunder Mifflin,contact1055@dundermifflin.com,CA19282319,Canada,+1-711-242-5961,Sarah Jenkins,,
Salesforce,SF-1056,Bluth Company,contact1056@bluthcompany.com,JP81721578,Japan,+1-756-137-6890,David Miller,,
Salesforce,SF-1057,Goliath National Bank,contact1057@goliathnationalbank.com,US85594147,USA,+1-970-439-8052,John Doe,,
Salesforce,SF-1058,Oscorp Industries,contact1058@oscorpindustries.com,SG88999206,Singapore,+1-694-207-5840,Alice Smith,,
Salesforce,SF-1059,Dunder Mifflin,contact1059@dundermifflin.com,FR79942848,France,+1-913-563-6225,John Doe,,
Salesforce,SF-1060,Stark Industries,contact1060@starkindustries.com,DE84076145,Germany,+1-437-916-7636,Sarah Jenkins,,
Salesforce,SF-1061,Vandelay Industries,contact1061@vandelayindustries.com,JP10597274,Japan,+1-264-691-2667,David Miller,,
