source_system,source_id,customer_name,email,tax_id,country,phone,account_owner,credit_limit,deal_size
SAP,SAP-5000,Bluth Co,billing5000@bluthcompany.com,US91214453,USA,,,"103,000.00",
SAP,SAP-5001,Initech,billing5001@initechllc.com,SG79490594,Singapore,,,"83,000.00",
SAP,SAP-5002,Dunder Mifflin Paper,billing5002@dundermifflin.com,DE69741812,Germany,,,"84,000.00",
SAP,SAP-5003,Stark Ind,billing5003@starkindustries.com,UK36975128,United Kingdom,,,"151,000.00",
SAP,SAP-5004,Hooli XYZ,billing5004@hooli.com,US26664623,USA,,,"30,000.00",
SAP,SAP-5005,Wayne Enterp.,billing5005@wayneenterprises.com,FR95235919,France,,,"161,000.00",
SAP,SAP-5006,Acme Corp.,billing5006@acmecorporation.com,UK16101779,United Kingdom,,,"137,000.00",
SAP,SAP-5007,Massive Dyn,billing5007@massivedynamic.com,AU63514837,Australia,,,"73,000.00",
SAP,SAP-5008,Stark Ind,billing5008@starkindustries.com,DE53947691,Germany,,,"88,000.00",
SAP,SAP-5009,PiedPiper Inc,billing5009@piedpiper.com,US22086184,USA,,,"136,000.00",
SAP,SAP-5010,Acme Corp.,billing5010@acmecorporation.com,UK67838146,United Kingdom,,,"153,000.00",
SAP,SAP-5011,Oscorp,billing5011@oscorpindustries.com,US16080513,USA,,,"48,000.00",
SAP,SAP-5012,Initech,billing5012@initechllc.com,JP92745294,Japan,,,"14,000.00",
SAP,SAP-5013,Acme Corp.,billing5013@acmecorporation.com,SG45638891,Singapore,,,"144,000.00",
SAP,SAP-5014,Umbrella Corporation,billing5014@umbrellacorp.com,JP77353073,Japan,,,"153,000.00",
SAP,SAP-5015,Initech,billing5015@initechllc.com,SG81555103,Singapore,,,"73,000.00",
SAP,SAP-5016,Umbrella Corporation,billing5016@umbrellacorp.com,SG52552488,Singapore,,,"149,000.00",
SAP,SAP-5017,Globex Ind,billing5017@globexindustries.com,CA20607151,Canada,,,"153,000.00",
SAP,SAP-5018,Oscorp,billing5018@oscorpindustries.com,SG35006323,Singapore,,,"95,000.00",
SAP,SAP-5019,Acme Corp.,billing5019@acmecorporation.com,AU49597485,Australia,,,"112,000.00",
SAP,SAP-5020,Nexus Global,billing5020@nexusglobalinc.com,DE28872606,Germany,,,"87,000.00",
SAP,SAP-5021,Bluth Co,billing5021@bluthcompany.com,US45105069,USA,,,"138,000.00",
SAP,SAP-5022,Cyberdyne Sys,billing5022@cyberdynesystems.com,UK95726382,United Kingdom,,,"165,000.00",
SAP,SAP-5023,Apex Sol,billing5023@apexsolutions.com,DE54039203,Germany,,,"124,000.00",
SAP,SAP-5024,Bluth Co,billing5024@bluthcompany.com,US85000490,USA,,,"21,000.00",
SAP,SAP-5025,PiedPiper Inc,billing5025@piedpiper.com,US48532662,USA,,,"107,000.00",
SAP,SAP-5026,Sterling Cooper Draper,billing5026@sterlingcooper.com,,Japan,,,"179,000.00",
SAP,SAP-5027,Nexus Global,billing5027@nexusglobalinc.com,US69920305,USA,,,"65,000.00",
SAP,SAP-5028,Globex Ind,billing5028@globexindustries.com,DE77631755,Germany,,,"46,000.00",
SAP,SAP-5029,Globex Ind,billing5029@globexindustries.com,DE94019376,Germany,,,"116,000.00",
SAP,SAP-5030,Vandelay Ind,billing5030@vandelayindustries.com,DE50250352,Germany,,,"153,000.00",
SAP,SAP-5031,Bluth Co,billing5031@bluthcompany.com,FR74343201,France,,,"132,000.00",
SAP,SAP-5032,Sterling Cooper Draper,billing5032@sterlingcooper.com,AU47991562,Australia,,,"194,000.00",
SAP,SAP-5033,Globex Ind,billing5033@globexindustries.com,FR29585415,France,,,"85,000.00",
SAP,SAP-5034,PiedPiper Inc,billing5034@piedpiper.com,AU44537812,Australia,,,"100,000.00",
SAP,SAP-5035,Globex Ind,billing5035@globexindustries.com,US19976458,USA,,,"12,000.00",
SAP,SAP-5036,Vandelay Ind,billing5036@vandelayindustries.com,DE24363501,Germany,,,"111,000.00",
SAP,SAP-5037,Steler Technologies,billing5037@stellartechnologies.com,AU64496076,Australia,,,"107,000.00",
SAP,SAP-5038,Steler Technologies,billing5038@stellartechnologies.com,SG68238367,Singapore,,,"187,000.00",
SAP,SAP-5039,Wayne Enterp.,billing5039@wayneenterprises.com,US34072553,USA,,,"154,000.00",
SAP,SAP-5040,Apex Sol,billing5040@apexsolutions.com,UK77215278,United Kingdom,,,"167,000.00",
SAP,SAP-5041,GNB,billing5041@goliathnationalbank.com,JP53805532,Japan,,,"101,000.00",
SAP,SAP-5042,Oscorp,billing5042@oscorpindustries.com,UK93029219,United Kingdom,,,"91,000.00",
SAP,SAP-5043,Soylent Corporation,billing5043@soylentcorp.com,UK22283664,United Kingdom,,,"43,000.00",
SAP,SAP-5044,Acme Corp.,billing5044@acmecorporation.com,UK57501571,United Kingdom,,,"31,000.00",
SAP,SAP-5045,Oscorp,billing5045@oscorpindustries.com,DE28634797,Germany,,,"29,000.00",
SAP,SAP-5046,Soylent Corporation,billing5046@soylentcorp.com,,Canada,,,"111,000.00",
SAP,SAP-5047,Vandelay Ind,billing5047@vandelayindustries.com,DE50323741,Germany,,,"187,000.00",
SAP,SAP-5048,PiedPiper Inc,billing5048@piedpiper.com,FR53739710,France,,,"56,000.00",
SAP,SAP-5049,Dunder Mifflin Paper,billing5049@dundermifflin.com,CA19282319,Canada,,,"49,000.00",
SAP,SAP-5050,Bluth Co,billing5050@bluthcompany.com,JP81721578,Japan,,,"31,000.00",
SAP,SAP-5051,GNB,billing5051@goliathnationalbank.com,,USA,,,"76,000.00",
SAP,SAP-5052,Oscorp,billing5052@oscorpindustries.com,SG88999206,Singapore,,,"31,000.00",
SAP,SAP-5053,Dunder Mifflin Paper,billing5053@dundermifflin.com,FR79942848,France,,,"191,000.00",
SAP,SAP-5054,Stark Ind,billing5054@starkindustries.com,DE84076145,Germany,,,"178,000.00",
SAP,SAP-5055,Vandelay Ind,billing5055@vandelayindustries.com,JP10597274,Japan,,,"93,000.00",
SAP,SAP-5056,Stark Ind,billing5056@starkindustries.com,CA25696616,Canada,,,"57,000.00",
SAP,SAP-5057,PiedPiper Inc,billing5057@piedpiper.com,CA28830282,Canada,,,"108,000.00",
SAP,SAP-5058,Wayne Enterp.,billing5058@wayneenterprises.com,FR82156607,France,,,"156,000.00",
SAP,SAP-5059,Dunder Mifflin Paper,billing5059@dundermifflin.com,FR67063296,France,,,"32,000.00",
SAP,SAP-5060,Soylent Corporation,billing5060@soylentcorp.com,JP32277675,Japan,,,"147,000.00",
SAP,SAP-5061,Hooli XYZ,billing5061@hooli.com,UK28198434,United Kingdom,,,"192,000.00",
SAP,SAP-5062,Bluth Co,billing5062@bluthcompany.com,CA94263610,Canada,,,"187,000.00",
SAP,SAP-5063,Acme Corp.,billing5063@acmecorporation.com,UK71532017,United Kingdom,,,"136,000.00",
SAP,SAP-5064,Bluth Co,billing5064@bluthcompany.com,SG56135950,Singapore,,,"50,000.00",
SAP,SAP-5065,Dunder Mifflin Paper,billing5065@dundermifflin.com,SG10090721,Singapore,,,"80,000.00",
SAP,SAP-5066,Initech,billing5066@initechllc.com,,USA,,,"132,000.00",
SAP,SAP-5067,Acme Corp.,billing5067@acmecorporation.com,US56113741,USA,,,"197,000.00",
SAP,SAP-5068,Oscorp,billing5068@oscorpindustries.com,DE96110892,Germany,,,"64,000.00",
SAP,SAP-5069,Nexus Global,billing5069@nexusglobalinc.com,DE26529882,Germany,,,"31,000.00",
SAP,SAP-5070,Cyberdyne Sys,billing5070@cyberdynesystems.com,FR79491111,France,,,"71,000.00",
SAP,SAP-5071,Massive Dyn,billing5071@massivedynamic.com,,Germany,,,"27,000.00",
SAP,SAP-5072,Oscorp,billing5072@oscorpindustries.com,UK51630244,United Kingdom,,,"166,000.00",
SAP,SAP-5073,Apex Sol,billing5073@apexsolutions.com,US31989243,USA,,,"78,000.00",
SAP,SAP-5074,Wayne Enterp.,billing5074@wayneenterprises.com,UK45292504,United Kingdom,,,"155,000.00",
SAP,SAP-5075,Oscorp,billing5075@oscorpindustries.com,DE34019729,Germany,,,"116,000.00",
SAP,SAP-5076,Nexus Global,billing5076@nexusglobalinc.com,US34071191,USA,,,"89,000.00",
SAP,SAP-5077,Massive Dyn,billing5077@massivedynamic.com,UK84234670,United Kingdom,,,"136,000.00",
SAP,SAP-5078,Acme Corp.,billing5078@acmecorporation.com,JP13209180,Japan,,,"196,000.00",
SAP,SAP-5079,Globex Ind,billing5079@globexindustries.com,DE47557512,Germany,,,"189,000.00",
SAP,SAP-5080,Massive Dyn,billing5080@massivedynamic.com,SG46501299,Singapore,,,"125,000.00",
SAP,SAP-5081,Dunder Mifflin Paper,billing5081@dundermifflin.com,AU64561191,Australia,,,"33,000.00",
SAP,SAP-5082,Apex Sol,billing5082@apexsolutions.com,UK43315361,United Kingdom,,,"125,000.00",
SAP,SAP-5083,Sterling Cooper Draper,billing5083@sterlingcooper.com,FR22713811,France,,,"112,000.00",
SAP,SAP-5084,Soylent Corporation,billing5084@soylentcorp.com,UK88158177,United Kingdom,,,"94,000.00",
SAP,SAP-5085,Nexus Global,billing5085@nexusglobalinc.com,US71873691,USA,,,"137,000.00",
SAP,SAP-5086,Initech,billing5086@initechllc.com,CA47561442,Canada,,,"150,000.00",
SAP,SAP-5087,Umbrella Corporation,billing5087@umbrellacorp.com,FR94658420,France,,,"134,000.00",
SAP,SAP-5088,Initech,billing5088@initechllc.com,UK43266810,United Kingdom,,,"109,000.00",
SAP,SAP-5089,Soylent Corporation,billing5089@soylentcorp.com,US57201978,USA,,,"135,000.00",
SAP,SAP-5090,PiedPiper Inc,billing5090@piedpiper.com,,USA,,,"160,000.00",
SAP,SAP-5091,Apex Sol,billing5091@apexsolutions.com,UK80638102,United Kingdom,,,"44,000.00",
SAP,SAP-5092,Initech,billing5092@initechllc.com,AU39962391,Australia,,,"10,000.00",
SAP,SAP-5093,Massive Dyn,billing5093@massivedynamic.com,FR95851936,France,,,"52,000.00",
SAP,SAP-5094,Steler Technologies,billing5094@stellartechnologies.com,AU69945655,Australia,,,"37,000.00",
SAP,SAP-5095,Initech,billing5095@initechllc.com,JP76180344,Japan,,,"18,000.00",
SAP,SAP-5096,Initech,billing5096@initechllc.com,JP31596235,Japan,,,"177,000.00",
SAP,SAP-5097,Umbrella Corporation,billing5097@umbrellacorp.com,FR64932613,France,,,"22,000.00",
SAP,SAP-5098,Soylent Corporation,billing5098@soylentcorp.com,US67392300,USA,,,"34,000.00",
SAP,SAP-5099,Nexus Global,billing5099@nexusglobalinc.com,CA63347164,Canada,,,"107,000.00",
SAP,SAP-5100,Wayne Enterp.,billing5100@wayneenterprises.com,FR46045780,France,,,"160,000.00",
SAP,SAP-5101,Sterling Cooper Draper,billing5101@sterlingcooper.com,SG86868410,Singapore,,,"156,000.00",
SAP,SAP-5102,GNB,billing5102@goliathnationalbank.com,,Germany,,,"30,000.00",
SAP,SAP-5103,Massive Dyn,billing5103@massivedynamic.com,UK21680625,United Kingdom,,,"169,000.00",
SAP,SAP-5104,Wayne Enterp.,billing5104@wayneenterprises.com,JP29307578,Japan,,,"78,000.00",
SAP,SAP-5105,PiedPiper Inc,billing5105@piedpiper.com,UK40595926,United Kingdom,,,"58,000.00",
SAP,SAP-5106,Globex Ind,billing5106@globexindustries.com,DE18806960,Germany,,,"61,000.00",
SAP,SAP-5107,Globex Ind,billing5107@globexindustries.com,FR14438720,France,,,"41,000.00",
SAP,SAP-5108,Initech,billing5108@initechllc.com,,Singapore,,,"22,000.00",
SAP,SAP-5109,Stark Ind,billing5109@starkindustries.com,FR46115786,France,,,"175,000.00",
SAP,SAP-5110,Wayne Enterp.,billing5110@wayneenterprises.com,JP60529679,Japan,,,"36,000.00",
SAP,SAP-5111,Acme Corp.,billing5111@acmecorporation.com,AU85357498,Australia,,,"173,000.00",
SAP,SAP-5112,Hooli XYZ,billing5112@hooli.com,FR17620167,France,,,"85,000.00",
SAP,SAP-5113,Bluth Co,billing5113@bluthcompany.com,FR56059101,France,,,"53,000.00",
SAP,SAP-5114,Apex Sol,billing5114@apexsolutions.com,CA85031958,Canada,,,"200,000.00",
SAP,SAP-5115,Bluth Co,billing5115@bluthcompany.com,CA72244897,Canada,,,"138,000.00",
SAP,SAP-5116,Globex Ind,billing5116@globexindustries.com,DE28436852,Germany,,,"134,000.00",
SAP,SAP-5117,Wayne Enterp.,billing5117@wayneenterprises.com,FR32629881,France,,,"119,000.00",
SAP,SAP-5118,Umbrella Corporation,billing5118@umbrellacorp.com,AU11889398,Australia,,,"98,000.00",
SAP,SAP-5119,Initech,billing5119@initechllc.com,UK16136213,United Kingdom,,,"44,000.00",
SAP,SAP-5120,Acme Corp.,billing5120@acmecorporation.com,FR40107903,France,,,"176,000.00",
SAP,SAP-5121,Globex Ind,billing5121@globexindustries.com,US98848098,USA,,,"74,000.00",
SAP,SAP-5122,PiedPiper Inc,billing5122@piedpiper.com,DE37581060,Germany,,,"189,000.00",
SAP,SAP-5123,Nexus Global,billing5123@nexusglobalinc.com,SG36661903,Singapore,,,"150,000.00",
SAP,SAP-5124,Acme Corp.,billing5124@acmecorporation.com,US21945758,USA,,,"35,000.00",
SAP,SAP-5125,Dunder Mifflin Paper,billing5125@dundermifflin.com,US23396125,USA,,,"34,000.00",
SAP,SAP-5126,Initech,billing5126@initechllc.com,AU57986515,Australia,,,"112,000.00",
SAP,SAP-5127,Vandelay Ind,billing5127@vandelayindustries.com,DE25174194,Germany,,,"155,000.00",
SAP,SAP-5128,Hooli XYZ,billing5128@hooli.com,UK68095862,United Kingdom,,,"152,000.00",
SAP,SAP-5129,Steler Technologies,billing5129@stellartechnologies.com,SG69618021,Singapore,,,"14,000.00",
SAP,SAP-5130,GNB,billing5130@goliathnationalbank.com,CA78227936,Canada,,,"94,000.00",
SAP,SAP-5131,Soylent Corporation,billing5131@soylentcorp.com,SG25303956,Singapore,,,"172,000.00",
SAP,SAP-5132,Cyberdyne Sys,billing5132@cyberdynesystems.com,AU24270328,Australia,,,"194,000.00",
SAP,SAP-5133,Vandelay Ind,billing5133@vandelayindustries.com,UK44130133,United Kingdom,,,"37,000.00",
SAP,SAP-5134,Bluth Co,billing5134@bluthcompany.com,DE76951647,Germany,,,"159,000.00",
SAP,SAP-5135,Initech,billing5135@initechllc.com,DE23898777,Germany,,,"73,000.00",
SAP,SAP-5136,Vandelay Ind,billing5136@vandelayindustries.com,CA83525272,Canada,,,"84,000.00",
SAP,SAP-5137,Massive Dyn,billing5137@massivedynamic.com,UK57276557,United Kingdom,,,"118,000.00",
SAP,SAP-5138,Globex Ind,billing5138@globexindustries.com,US36830448,USA,,,"85,000.00",
SAP,SAP-5139,GNB,billing5139@goliathnationalbank.com,FR96854901,France,,,"185,000.00",
